Place,xml:id,loc
Europe,e,
Austria,au,
Belgium,be,
France,fr,
Bordeaux,fr-bor,
Meaux,fr-mea,
Paris,fr-par,
Brittany,fr-bri,
Brest,fr-bre,
Alsace-Champagne-Ardenne-Lorraine,fr-acal,
Ardenne,fr-ard,
Sedan,fr-sed,
Champagne,fr-cha,
Chateau-Thierry Château-Thierry,fr-cth,
Haute-Marne,fr-hau,
St. Blin Saint-Blin,fr-stb,
Lorraine,fr-lor,
Meuse,fr-meu,
Burey-en-Vaux,fr-bev,
Chalaines,fr-chl,
Mauvages,fr-mau,
Maxey-sur-Vaise,fr-msv,
Mont Sec Montsec,fr-mts,
Verdun,fr-ver,
Vaucouleurs-Sur-Muese,fr-vau,
Vaucouleurs river,fr-vau-riv,
Vosges,fr-vos,
Bazois Bazoilles-sur-Meuse,fr-baz,
Domremy Domrémy-la-Pucelle,fr-dlp,
Goncourt,fr-gon,
Maxey-sur-Meuse,fr-msm,
Neufchateau Neufchâteau,fr-neu,
Vittel,fr-vit,
Vosges mountains,fr-vmt,
Pays-de-la-Loire,fr-pay,
Loire-Atlantique,fr-lat,
St. Nazaire,fr-stn,
Loire River,fr-lor-riv,
Germany,gw,
Bad Neuenahr,gw-bad,
Drachenfels castle,dra-castle,
Luxembourg,lu,
United Kingdom,xxk,
Great Britain,e-uk,
England,enk,
Ireland,ie,
Rhine river,er,
North America,n,
United States of America,xxu,
Colorado,cou,
District of Columbia,dcu,
Georgia,gau,
Fort Ft. Oglethorp,ftriley,
Kansas,ksu,
Fort Ft. Riley,ksu-ftr,
Michigan,miu,
Nebraska,neu,
New Jersey,nju,
Englewood,nju-eng,
Hoboken,nju-hob,
Sandy Hook,nju-san,
New York,nyu,
Long Island,nyu-lon,
Brooklyn,nyu-bro,
Coney Island,nyu-cni,
Long Island,nyu-lon-city,
Nassau County,nyu-nas,
Nassau County Hospital,nyu-nas-hos,
Hempstead Village,nyu-hem,
Garden City,nyu-gar,
Camp Albert L. Mills,campmills,
Manhattan,nyu-man,
Manhattan Island,nyu-man-isl,
Broadway,nyu-brd,
New York Aquarium,nyu-aquarium,
Statue of Liberty,nyu-sol,
The Woolworth,woolworth,
Wall Street,wallst,
Zoo,nyuzoo,
Oklahoma,oku,
Oregon,oru,
Pennsylvania,pa,
Tennessee,tnu,
Cuba,cu,
Jamaica,jm,
Freeport,jm-fre,